Date,Reach,Impressions,Link clicks,Landing page views,Post engagement,3-second video plays,ThruPlays,Post comments,Post saves,Post reactions,Post shares,Video plays at 50%,Leads,Amount Spent,Country,Objective
17/12/2021,42404,47753,1015,21,3126,2098,378,1,,11,1,732,,101.18,Egypt,CPC
17/12/2021,78951,108908,595,204,648,,,11,7,31,4,,,185.68,Egypt,CPLPV
17/12/2021,14711,23681,160,84,167,,,1,1,4,1,,,43,Egypt,Remarketing
17/12/2021,76825,81155,251,126,311,,,,9,46,5,,,438.04,KSA,CPC
17/12/2021,50922,53315,122,17,4059,3920,361,3,1,11,2,927,1,58.27,Egypt,CPMR
17/12/2021,9908,12896,65,23,76,,,2,3,6,,,,70.29,Egypt,CPA
17/12/2021,11769,13743,46,24,55,,,2,,7,,,1,72.12,Egypt,CPA
17/12/2021,116056,117319,13,3,7935,7904,572,,,18,,864,,498.6,KSA,CPMR
16/12/2021,123904,153151,6,1,48447,48378,10886,,2,59,2,20432,,284.05,Egypt,CPE
16/12/2021,39896,45777,925,23,2897,1965,357,,,7,,708,,100.45,Egypt,CPC
16/12/2021,75214,107922,606,201,646,,,10,3,26,1,,,185.17,Egypt,CPLPV
16/12/2021,14811,25007,115,61,117,,,,,2,,,,43.95,Egypt,Remarketing
16/12/2021,72833,77154,235,113,286,,,,5,33,13,,,432.72,KSA,CPC
16/12/2021,42665,43842,105,10,4138,4012,350,3,1,17,,962,,60.37,Egypt,CPMR
16/12/2021,9040,11955,62,29,73,,,3,,8,,,3,68.21,Egypt,CPA
16/12/2021,10244,12412,48,27,58,,,3,2,3,2,,2,69.63,Egypt,CPA
16/12/2021,109471,109710,17,4,7498,7458,488,,3,20,,726,,499.93,KSA,CPMR
15/12/2021,111935,133882,159,78,1961,,,16,15,562,6,,,272.8,Egypt,CPE
15/12/2021,42592,47212,963,26,3244,2260,454,,,21,,822,,103.04,Egypt,CPC
15/12/2021,69631,103686,640,220,684,,,15,3,25,1,,,190.62,Egypt,CPLPV
15/12/2021,16156,24785,127,58,134,,,3,1,3,,,,41.87,Egypt,Remarketing
15/12/2021,75728,76186,291,143,337,,,,12,19,15,,,427.98,KSA,CPC
15/12/2021,127264,130717,346,36,11352,10940,989,13,5,42,6,2746,,179.53,Egypt,CPMR
15/12/2021,10024,12889,69,39,84,,,3,1,9,2,,3,68.79,Egypt,CPA
15/12/2021,11468,13407,63,35,69,,,2,1,3,,,1,69.18,Egypt,CPA
15/12/2021,94798,96120,16,4,6515,6483,474,,1,15,,718,,495.86,KSA,CPMR
14/12/2021,90428,109854,122,57,2054,,,17,3,801,12,,,278.53,Egypt,CPE
14/12/2021,35886,40184,916,17,2804,1871,334,2,,15,,650,,81.06,Egypt,CPC
14/12/2021,66784,103619,622,204,671,,,9,5,32,3,,,181.99,Egypt,CPLPV
14/12/2021,14968,25466,143,83,151,,,3,,4,1,,,44.1,Egypt,Remarketing
14/12/2021,78477,79902,288,142,334,,,,7,27,12,,,422.83,KSA,CPC
14/12/2021,125916,128864,362,46,11541,11130,1058,9,4,34,2,2837,,182.78,Egypt,CPMR
14/12/2021,9926,12670,73,31,82,,,3,1,5,,,1,68.84,Egypt,CPA
14/12/2021,10699,12711,60,27,72,,,5,2,4,1,,1,69.67,Egypt,CPA
14/12/2021,108420,108420,24,6,6947,6903,449,,,20,,692,,477.73,KSA,CPMR
13/12/2021,73869,92709,117,51,2044,,,18,6,1098,5,,,273.67,Egypt,CPE
13/12/2021,22369,24666,636,18,1766,1124,214,,,6,,385,,44.47,Egypt,CPC
13/12/2021,55423,95867,379,115,400,,,,1,20,,,,133.14,Egypt,CPLPV
13/12/2021,15250,24645,104,54,115,,,1,2,8,,,,44.81,Egypt,Remarketing
13/12/2021,86103,88649,291,161,339,,,,9,29,10,,2,430.27,KSA,CPC
13/12/2021,124053,133255,339,38,12161,11758,1116,16,16,28,4,2894,1,174.51,Egypt,CPMR
13/12/2021,12410,15827,95,45,105,,,4,1,5,,,,68.74,Egypt,CPA
13/12/2021,11438,13578,43,23,51,,,3,,4,1,,1,68.61,Egypt,CPA
13/12/2021,125566,125566,18,1,8277,8238,560,,,21,,865,,476.6,KSA,CPMR
12/12/2021,17108,17798,686,38,3299,2609,1058,,,4,,1417,,46.67,Egypt,CPC
12/12/2021,53739,86620,386,100,421,,,5,3,26,1,,,147.72,Egypt,CPLPV
12/12/2021,15383,25819,122,58,129,,,1,1,4,1,,,43.54,Egypt,Remarketing
12/12/2021,94729,96801,311,153,381,,,,14,39,17,,,446.93,KSA,CPC
12/12/2021,155397,157637,338,39,12848,12450,1081,12,8,36,4,3046,2,180.11,Egypt,CPMR
12/12/2021,11039,13991,90,43,102,,,3,,9,,,3,69.41,Egypt,CPA
12/12/2021,10879,13109,36,19,43,,,2,,5,,,,70.25,Egypt,CPA
12/12/2021,134636,137001,7,,8620,8592,613,,1,20,,935,,481.17,KSA,CPMR
11/12/2021,153762,181758,286,159,2121,,,13,6,620,3,,2,261.76,Egypt,CPE
11/12/2021,17079,19296,404,10,1358,952,192,,,2,,337,,45.86,Egypt,CPC
11/12/2021,43636,66244,301,104,327,,,5,1,17,3,,,136.45,Egypt,CPLPV
11/12/2021,16900,27481,143,74,148,,,3,,1,1,,,45.21,Egypt,Remarketing
11/12/2021,97563,98930,252,119,324,,,,13,43,16,,1,470.57,KSA,CPC
11/12/2021,181720,181720,339,32,13941,13526,1180,21,5,47,3,3213,,193.49,Egypt,CPMR
11/12/2021,9270,12000,84,40,99,,,6,1,8,,,1,68.3,Egypt,CPA
11/12/2021,9383,11234,44,22,53,,,2,2,5,,,,66.82,Egypt,CPA
11/12/2021,133448,135558,19,5,8771,8731,608,,1,20,,911,,501.76,KSA,CPMR
10/12/2021,102791,131204,171,82,2193,,,20,7,969,5,,,289.31,Egypt,CPE
10/12/2021,14854,17021,419,7,1237,814,184,,,4,,289,,43.77,Egypt,CPC
10/12/2021,39698,56349,301,102,324,,,3,5,15,,,,130.26,Egypt,CPLPV
10/12/2021,16645,25539,128,58,137,,,1,,8,,,,45.55,Egypt,Remarketing
10/12/2021,88224,91992,152,83,206,,,,9,38,7,,,451.48,KSA,CPC
10/12/2021,167522,167522,386,45,13282,12833,1228,12,6,45,,3114,,183.65,Egypt,CPMR
10/12/2021,8833,11173,60,27,71,,,2,1,8,,,3,68.52,Egypt,CPA
10/12/2021,8546,10368,50,31,60,,,3,1,6,,,,68.62,Egypt,CPA
10/12/2021,124499,124499,24,5,8269,8221,614,,1,23,,890,,497.65,KSA,CPMR
9/12/2021,67174,86937,114,63,2124,,,21,6,1210,8,,,273.93,Egypt,CPE
9/12/2021,14061,16324,433,11,1238,800,149,,,5,,287,,43.47,Egypt,CPC
9/12/2021,42016,59931,335,100,355,,,1,2,15,2,,,130.13,Egypt,CPLPV
9/12/2021,12001,20068,109,52,124,,,3,1,11,,,,43.58,Egypt,Remarketing
9/12/2021,103832,104190,134,54,181,,,,3,36,8,,,557.09,KSA,CPC
9/12/2021,171581,177428,355,37,13095,12676,1081,13,6,43,2,2943,1,166.67,Egypt,CPMR
9/12/2021,9804,12292,93,43,110,,,5,1,11,,,8,68.22,Egypt,CPA
9/12/2021,9512,11654,61,35,69,,,2,,6,,,,69.26,Egypt,CPA
9/12/2021,129798,134147,19,6,8825,8789,622,,1,16,,935,,474.32,KSA,CPMR
8/12/2021,98275,120835,8,1,37523,37440,12842,,1,73,1,20283,,275.69,Egypt,CPE
8/12/2021,14752,17401,488,16,1314,825,164,,,1,,306,,43.65,Egypt,CPC
8/12/2021,43243,61258,415,131,442,,,9,1,17,,,,139.78,Egypt,CPLPV
8/12/2021,12247,21033,106,52,114,,,2,2,4,,,,44.58,Egypt,Remarketing
8/12/2021,64447,65695,75,34,113,,,,4,30,4,,1,434.32,KSA,CPC
8/12/2021,232925,244654,421,44,17044,16563,1292,7,1,50,2,3739,,191.2,Egypt,CPMR
8/12/2021,9714,12352,90,38,103,,,7,,5,1,,2,69.04,Egypt,CPA
8/12/2021,9502,11857,57,30,63,,,2,,4,,,,67.63,Egypt,CPA
8/12/2021,105124,107510,9,1,6542,6513,439,,,20,,681,,494.83,KSA,CPMR
7/12/2021,104442,129836,11,3,38958,38870,10857,,2,75,,18902,,276.79,Egypt,CPE
7/12/2021,13700,15807,575,26,1704,1121,346,1,,7,,481,,42.57,Egypt,CPC
7/12/2021,42477,62702,354,119,388,,,7,1,26,,,,139.78,Egypt,CPLPV
7/12/2021,15186,25261,105,48,114,,,,3,6,,,,43.23,Egypt,Remarketing
7/12/2021,105851,107955,115,58,155,,,,9,31,,,,422.85,KSA,CPC
7/12/2021,197068,197068,446,57,15056,14547,1254,4,4,53,2,3418,,176.3,Egypt,CPMR
7/12/2021,9001,11293,77,44,100,,,12,1,9,1,,4,73.45,Egypt,CPA
7/12/2021,9778,11996,43,19,54,,,2,1,8,,,,72.86,Egypt,CPA
7/12/2021,106360,106586,20,4,6113,6070,415,,2,21,,627,,484.03,KSA,CPMR
6/12/2021,102774,133043,9,2,41896,41814,10931,,2,69,2,19103,,272.52,Egypt,CPE
6/12/2021,19243,20738,396,22,1752,1343,273,,2,10,1,407,,41.46,Egypt,CPC
6/12/2021,36474,51388,218,80,261,,,3,7,32,1,,,144.83,Egypt,CPLPV
6/12/2021,15446,25148,121,47,129,,,2,,6,,,,43.97,Egypt,Remarketing
6/12/2021,92779,96017,114,38,167,,,,2,47,4,,,438.12,KSA,CPC
6/12/2021,200739,203888,567,41,16996,16356,1671,6,5,56,6,4080,,170.48,Egypt,CPMR
6/12/2021,8486,10303,67,37,90,,,6,,14,3,,2,66.82,Egypt,CPA
6/12/2021,9951,11280,33,22,47,,,3,1,9,1,,1,60.71,Egypt,CPA
6/12/2021,118589,118589,17,2,6992,6952,485,,1,22,,700,,479.93,KSA,CPMR
5/12/2021,22200,23784,354,16,1958,1582,238,1,2,18,1,369,,43.44,Egypt,CPC
5/12/2021,32993,43202,155,55,189,,,2,5,24,3,,,141.52,Egypt,CPLPV
5/12/2021,14375,23545,124,51,130,,,,1,5,,,,40.51,Egypt,Remarketing
5/12/2021,98384,101672,99,28,147,,,,5,41,2,,1,464.85,KSA,CPC
5/12/2021,226811,232657,549,34,18892,18294,1679,9,4,33,3,4334,,179.35,Egypt,CPMR
5/12/2021,8056,9940,53,30,70,,,3,4,9,1,,2,68.04,Egypt,CPA
5/12/2021,11640,13290,44,30,61,,,4,2,10,1,,1,68.45,Egypt,CPA
5/12/2021,128959,129802,20,3,7852,7809,491,,2,21,,772,,490.48,KSA,CPMR
4/12/2021,120768,144622,14,6,42102,42007,12292,1,1,78,1,20785,,261.44,Egypt,CPE
4/12/2021,17904,19745,261,27,1793,1517,242,1,4,9,1,363,,42.42,Egypt,CPC
4/12/2021,16336,28965,98,27,112,,,,3,10,1,,,116.67,Egypt,CPLPV
4/12/2021,11788,20369,117,49,123,,,1,2,3,,,,43.16,Egypt,Remarketing
4/12/2021,89150,94044,98,26,139,,,,2,38,1,,,455.47,KSA,CPC
4/12/2021,232700,234655,426,27,16304,15813,1255,5,5,55,,3493,,181.73,Egypt,CPMR
4/12/2021,7456,9393,63,38,75,,,7,,5,,,3,68.48,Egypt,CPA
4/12/2021,10348,12008,55,45,77,,,4,6,10,2,,3,69.03,Egypt,CPA
4/12/2021,131744,132314,17,1,7985,7943,610,,1,23,1,898,,490.78,KSA,CPMR
3/12/2021,123501,149891,19,7,44989,44885,12441,2,2,79,2,21864,1,291.03,Egypt,CPE
3/12/2021,16891,18338,261,22,1549,1277,216,,1,9,1,320,3,43.6,Egypt,CPC
3/12/2021,15244,26269,102,32,114,,,2,,10,,,,113.48,Egypt,CPLPV
3/12/2021,11415,20092,112,60,120,,,1,2,4,1,,,43.53,Egypt,Remarketing
3/12/2021,81405,85646,96,18,130,,,,1,31,2,,,431.87,KSA,CPC
3/12/2021,229617,238292,411,28,15949,15486,1271,9,5,37,1,3418,,182.8,Egypt,CPMR
3/12/2021,7694,9879,76,38,99,,,7,4,12,,,2,70.57,Egypt,CPA
3/12/2021,9637,11231,60,40,71,,,1,1,8,1,,1,67.89,Egypt,CPA
3/12/2021,127474,129629,22,7,7367,7329,544,,,15,1,798,,487.91,KSA,CPMR
2/12/2021,105694,130007,15,10,41883,41782,10877,2,1,82,1,19796,,272.53,Egypt,CPE
2/12/2021,17805,19252,255,17,1522,1255,193,1,4,6,1,328,,42.19,Egypt,CPC
2/12/2021,15196,27493,109,28,126,,,1,1,12,3,,,112.8,Egypt,CPLPV
2/12/2021,11927,20749,113,43,128,,,1,1,11,2,,,42.26,Egypt,Remarketing
2/12/2021,71359,75083,101,23,154,,,,3,50,,,,435.66,KSA,CPC
2/12/2021,225850,235696,365,32,16334,15909,1232,10,1,45,4,3388,,172.38,Egypt,CPMR
2/12/2021,8098,10398,94,62,119,,,2,3,17,3,,3,67.71,Egypt,CPA
2/12/2021,10003,11863,55,43,72,,,4,3,10,,,,67.37,Egypt,CPA
2/12/2021,132353,137283,22,6,7418,7375,528,,,21,,782,,467.4,KSA,CPMR
1/12/2021,14600,16228,337,13,1593,1238,201,,5,13,,298,,39.7,Egypt,CPC
1/12/2021,14716,26254,124,43,142,,,7,3,6,2,,,111.42,Egypt,CPLPV
1/12/2021,12939,21714,120,59,124,,,2,,2,,,,43.65,Egypt,Remarketing
1/12/2021,39047,39642,47,12,85,,,,1,37,,,1,436.92,KSA,CPC
1/12/2021,251450,264154,324,24,15435,15069,1182,2,5,35,,3289,1,180.11,Egypt,CPMR
1/12/2021,6586,9066,93,48,117,,,11,2,10,1,,9,69.03,Egypt,CPA
1/12/2021,9452,11745,65,44,83,,,2,2,13,1,,1,67.93,Egypt,CPA
1/12/2021,111455,115301,18,3,7111,7084,577,,,9,,861,,509.72,KSA,CPMR
30/11/2021,200350,206983,306,81,404,,,,12,81,5,,,1536.78,KSA,CPLPV
30/11/2021,168768,181158,43,8,11536,11459,737,,1,32,1,921,,869.86,KSA,CPMR
30/11/2021,231873,232855,782,71,19284,18446,1361,8,4,43,1,7062,,225.68,Egypt,CPMR
30/11/2021,15324,40334,188,28,2526,2334,509,1,,3,,760,,195.04,Egypt,CPC
30/11/2021,178880,215860,3,,75726,75590,15782,3,6,118,6,17665,,299.31,Egypt,CPE
30/11/2021,2160,3262,19,9,20,,,,,1,,,,7.32,Egypt,Remarketing
30/11/2021,22680,31121,111,54,145,,,4,1,27,2,,,183.43,Egypt,CPLPV
30/11/2021,670,710,7,7,10,,,1,1,1,,,1,3.26,Egypt,CPA
30/11/2021,538,601,11,7,18,,,3,1,3,,,1,3.22,Egypt,CPA
29/11/2021,175040,181378,240,67,340,,,,6,84,10,,,1448.73,KSA,CPLPV
29/11/2021,162912,180320,33,10,11316,11249,740,,,32,2,891,,836.22,KSA,CPMR
29/11/2021,239550,242205,820,71,20909,20029,1394,12,4,43,1,6546,1,247.66,Egypt,CPMR
29/11/2021,14848,36260,189,25,2373,2179,452,,1,4,,693,1,187.25,Egypt,CPC
29/11/2021,153888,192063,1,,70242,70115,15078,3,7,109,7,17000,,302.36,Egypt,CPE
29/11/2021,2348,3923,31,21,32,,,,,1,,,,9.05,Egypt,Remarketing
29/11/2021,22056,29597,113,50,153,,,3,7,27,3,,,174.79,Egypt,CPLPV
29/11/2021,844,922,11,9,14,,,2,1,,,,,4.03,Egypt,CPA
29/11/2021,654,778,9,7,10,,,,,1,,,,4.1,Egypt,CPA
28/11/2021,172064,180839,267,74,370,,,,4,96,3,,,1501.21,KSA,CPLPV
28/11/2021,154366,174072,25,10,10933,10878,692,,1,27,2,838,,909.4,KSA,CPMR
28/11/2021,220800,224061,812,68,21206,20343,1580,7,2,40,2,8615,1,229.94,Egypt,CPMR
28/11/2021,41528,51665,535,45,3866,3299,711,5,2,23,2,1037,,176.17,Egypt,CPC
28/11/2021,94447,110928,1,,42497,42427,10102,1,5,58,5,11187,,223.33,Egypt,CPE
28/11/2021,2316,3737,32,21,34,,,1,,1,,,,8.62,Egypt,Remarketing
28/11/2021,23327,32544,103,33,131,,,2,1,21,4,,,171.26,Egypt,CPLPV
28/11/2021,917,1007,11,8,11,,,,,,,,,4.04,Egypt,CPA
28/11/2021,577,686,12,8,16,,,2,1,1,,,4,4.37,Egypt,CPA
27/11/2021,105022,107161,202,50,255,,,,5,46,2,,,920.39,KSA,CPLPV
27/11/2021,235775,256081,42,8,16474,16390,1122,,3,39,,1248,,1519.57,KSA,CPMR
27/11/2021,229311,240110,799,56,22221,21361,1638,4,4,53,,9723,,250.08,Egypt,CPMR
27/11/2021,72430,83814,1160,77,5952,4758,998,11,,22,1,1402,1,195.24,Egypt,CPC
27/11/2021,2245,3678,20,14,20,,,,,,,,,9.05,Egypt,Remarketing
27/11/2021,22113,33679,126,50,160,,,9,4,18,3,,2,174.08,Egypt,CPLPV
